EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
lexidb,2,jparacrawl,2,the dataset,2,improvements,2,neural machine translation systems,2,increase,2,highlighting,2
the multitask lstm-based neural network,2,vocabularies,2,human annotators,2,glove,2,these metrics,2,transliterated,2,pretraining on,2
the dual attention model,2,reliability,2,machine translation (mt) systems,2,the proposed model,2,assamese,2,designed to optimize,2,understanding,2
the rule-based approach,2,graph convolutional networks,2,shared task,2,news articles,2,semantic graph analysis,2,utilized to generate,2,generate,2
morphological features,2,word alignment,2,environmental terms,2,multiple sentences,2,xlnet,2,employed to evaluate,2,oriented,2
data augmentation strategies,2,torot,2,the improvements,2,high accuracy,2,their ability,2,ec1 embedding,2,adapted,2
multilingual word embeddings,2,corpora,2,results,2,a dependency parser,2,prism,2,segmenting,2,expected,2
a multilingual model,2,transformer-based neural machine translation systems,2,approach,2,the precision,2,the incorporation,2,enables,2,performing,2
term extraction,2,lexical resources,2,a diverse set,2,the conll 2017 ud shared task,2,ner,2,inferring,2,integrating,2
the proposed algorithms,2,source,2,plms,2,this relationship,2,twitter,2,used to develop,2,assigning,2
transformer-based language models,2,gpt-3.5,2,different dialects,2,multilingual bert,2,the case,2,characterizing,2,perform in,2
evald,2,fasttext,2,language learning,2,actions,2,back translation,2,used to perform,2,,
the ontology,2,medical text,2,transcription,2,marathi,2,openie,2,learned through,2,,
r-drop,2,the hit-scir system,2,genes,2,other participants,2,the training,2,to evaluate,2,,
ensemble techniques,2,bulgarian dialects,2,dacr,2,the comparison,2,the categories,2,linking in,2,,
swiss-al,2,natural language generation,2,dialogue act classification,2,multilingual machine translation,2,various language directions,2,document,2,,
a bert language model,2,comprehension,2,tools,2,supervised models,2,the amount,2,developed to generate,2,,
active learning,2,qe,2,under-resourced languages,2,noisy data,2,the limitations,2,modified,2,,
the evaluation metrics,2,representations,2,critical errors,2,event detection,2,text classification,2,employed to address,2,,
the variation,2,chatgpt,2,swow,2,(ape,2,the polish language,2,utilized to evaluate,2,,
a multi-task model,2,the generalization,2,specific domains,2,a machine translation system,2,,,produce,2,,
monolingual pre-trained language models,2,event,2,ontologies,2,collusion scams,2,,,associated with,2,,
pre-trained language models,2,robustness,2,indo-european languages,2,news stories,2,,,addressed to facilitate,2,,
the optimal size,2,caption generation,2,agglutinative languages,2,augmentation,2,,,to provide,2,,
entities,2,supervised machine learning techniques,2,free text questions,2,test data,2,,,automate,2,,
the slide metric,2,the abc treebank,2,joint learning,2,the biomedical domain,2,,,replicating,2,,
aspect-based sentiment analysis,2,irony activators,2,word-level auto-completion,2,context,2,,,taking into,2,,
a single model,2,specific language pairs,2,the construction,2,sentence ranking,2,,,introduced by,2,,
data augmentation methods,2,objects,2,terminologies,2,the domain adaptation,2,,,vary among,2,,
relevance,2,multilingual embeddings,2,token masking,2,a model's ability,2,,,proposed in,2,,
sas,2,a transformer-based model,2,mt,2,a dictionary,2,,,framing,2,,
flodusta,2,a neural model,2,forward translation,2,individuals,2,,,grounding,2,,
nmt systems,2,context,2,the identification,2,bert embeddings,2,,,introduced to improve,2,,
the nits-cnlp's unsupervised machine translation model,2,raunak,2,sentiment,2,sampling,2,,,integrate,2,,
ontology generation,2,udpipe,2,pretrained models,2,similar languages,2,,,improved without,2,,
the proportion,2,nli,2,workers,2,ensemble knowledge distillation,2,,,scoring,2,,
bidirectional lstms,2,large-scale language models,2,pre-trained language models,2,a conversational agent,2,,,describing,2,,
mbart,2,the potential,2,attention functions,2,the-shelf,2,,,contributing to,2,,
block backtranslation techniques,2,lstms,2,relation classification tasks,2,different techniques,2,,,used to validate,2,,
a pre-trained transformer model,2,transfer learning,2,machine learning models,2,users,2,,,developed to evaluate,2,,
synthetic data,2,house,2,spanish,2,coverage,2,,,retrieving,2,,
,,encoder-decoder models,2,image,2,transformer-based systems,2,,,adjusting,2,,
,,"""ambiguous sentences",2,the frequency,2,documents,2,,,text,2,,
,,subsets,2,malayalam,2,text generation,2,,,affecting,2,,
,,a copy mechanism,2,the multidimensional quality metrics (mqm) scores,2,the handling,2,,,adapted to create,2,,
,,the integration,2,genre analysis,2,cases,2,,,improved to reduce,2,,
,,data selection,2,reranking,2,scientific articles,2,,,mitigated through,2,,
,,vietnamese conversational texts,2,information extraction,2,other methods,2,,,incorporates,2,,
,,clinical cases,2,telegram,2,the challenge,2,,,limiting,2,,
,,,,external knowledge,2,tokenization,2,,,built using,2,,
,,,,an ensemble,2,offensive texts,2,,,to refine,2,,
,,,,back translation,2,transfer learning,2,,,injecting,2,,
,,,,language resources,2,a noun,2,,,measured using,2,,
,,,,.,2,plms,2,,,used to associate,2,,
,,,,formality,2,data diversification,2,,,improved to increase,2,,
,,,,brazilian portuguese,2,,,,,learning from,2,,
,,,,a single model,2,,,,,translate,2,,
,,,,a resource-rich language,2,,,,,estimate,2,,
,,,,reasoning,2,,,,,stemming,2,,
,,,,sanskrit,2,,,,,required for,2,,
,,,,each,2,,,,,learning on,2,,
,,,,the-loop,2,,,,,studying,2,,
,,,,weights,2,,,,,projecting,2,,
,,,,upper sorbian,2,,,,,employed to measure,2,,
,,,,potential,2,,,,,summarizing,2,,
,,,,a combination,2,,,,,enhanced,2,,
,,,,f30kent-jp,2,,,,,need,2,,
,,,,the neural model,2,,,,,utilized to create,2,,
,,,,recognition,2,,,,,found,2,,
,,,,hate speech,2,,,,,evaluated,2,,
,,,,adapters,2,,,,,validated,2,,
,,,,an adjective,2,,,,,modeled,2,,
,,,,,,,,,,personalizing,2,,
,,,,,,,,,,inspired by,2,,
,,,,,,,,,,fixing,2,,
,,,,,,,,,,masked,2,,
,,,,,,,,,,require,2,,
,,,,,,,,,,tailored for,2,,
,,,,,,,,,,adapted for,2,,
,,,,,,,,,,constructed using,2,,
,,,,,,,,,,typing,2,,
,,,,,,,,,,parsing using,2,,
,,,,,,,,,,built for,2,,
,,,,,,,,,,to use,2,,
,,,,,,,,,,mimicking,2,,
,,,,,,,,,,contains,2,,
,,,,,,,,,,create,2,,
,,,,,,,,,,maintained,2,,
,,,,,,,,,,reports,2,,
,,,,,,,,,,optimized using,2,,
,,,,,,,,,,exhibit,2,,
,,,,,,,,,,specifying,2,,
,,,,,,,,,,copying,2,,
,,,,,,,,,,investigate,2,,
,,,,,,,,,,expressing,2,,
,,,,,,,,,,recognize,2,,
,,,,,,,,,,compare on,2,,
,,,,,,,,,,transfer,2,,
,,,,,,,,,,prompting,2,,
,,,,,,,,,,partitioning,2,,
,,,,,,,,,,augmented with,2,,
,,,,,,,,,,to create,2,,
,,,,,,,,,,treating,2,,
,,,,,,,,,,constructed,2,,
,,,,,,,,,,overcoming,2,,
,,,,,,,,,,to measure,2,,
,,,,,,,,,,establish,2,,
,,,,,,,,,,imbalanced,2,,
,,,,,,,,,,based named,2,,
,,,,,,,,,,play in,2,,
,,,,,,,,,,quantify,2,,
,,,,,,,,,,differ from,2,,
,,,,,,,,,,extracted,2,,
,,,,,,,,,,initializing,2,,
,,,,,,,,,,reporting,2,,
,,,,,,,,,,outperforming,2,,
,,,,,,,,,,switching,2,,
,,,,,,,,,,evaluated in,2,,
,,,,,,,,,,written in,2,,
,,,,,,,,,,writing,2,,
,,,,,,,,,,facilitate,2,,
,,,,,,,,,,referring,2,,
,,,,,,,,,,applied,2,,
,,,,,,,,,,to model,2,,
,,,,,,,,,,to understand,2,,
,,,,,,,,,,gained from,2,,
,,,,,,,,,,vary in,2,,
,,,,,,,,,,querying,2,,
,,,,,,,,,,evaluated by,2,,
,,,,,,,,,,pretraining affect,2,,
,,,,,,,,,,incorporated into,2,,
,,,,,,,,,,logging,2,,
,,,,,,,,,,denoising,2,,
,,,,,,,,,,combine,2,,
,,,,,,,,,,regularizing,2,,
,,,,,,,,,,tuned with,2,,
,,,,,,,,,,rely on,2,,
,,,,,,,,,,fed with,2,,
,,,,,,,,,,developed to improve,2,,
,,,,,,,,,,involving,2,,
,,,,,,,,,,averaged,2,,
,,,,,,,,,,forcing,2,,
,,,,,,,,,,developed to address,2,,
,,,,,,,,,,solving,2,,
,,,,,,,,,,setting,2,,
,,,,,,,,,,computing,2,,
,,,,,,,,,,captures,2,,
,,,,,,,,,,learnt,2,,
,,,,,,,,,,assisting,2,,
