EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
machine translation techniques,2,negation resolution,2,linear text segmentation,2,efficiency,2,linguistic resources,2,improved to handle,2,correlate with,2
a pre-trained transformer model,2,text simplification,2,raw text,2,improved accuracy,2,the coverage,2,grained,2,integrates,2
sensitive data,2,a deep learning model,2,supervised models,2,relation extraction,2,a high proportion,2,optimizing,2,e generalized,2
areta,2,techniques,2,precision,2,human ratings,2,spanish,2,designed to improve,2,learning from,2
the proposed mechanism,2,clinical terminology,2,the translation performance,2,the inclusion,2,a transformer-based architecture,2,used to represent,2,c1 be improv,2
fasttext,2,frames,2,text anomalies,2,low-resource settings,2,the potential applications,2,improved using,2,used to inform,2
kb-bert,2,a distributional thesaurus,2,bpe,2,comparable accuracy,2,the hidden layer,2,initializing,2,controlling,2
a semi-supervised approach,2,sentence,2,machine translation metrics,2,the similarity,2,input,2,to measure,2,learned from,2
sentence,2,african languages,2,dialects,2,claim verification,2,model performance,2,optimized to reduce,2,preserves,2
transformers,2,the prediction,2,displacement calculus,2,parallel data,2,the conditions,2,used to induce,2,extracted,2
the open learner model,2,proof nets,2,at least 90%,2,text classification models,2,repetition,2,facilitating,2,focus,2
a distributional approach,2,a situation model,2,insights,2,the training process,2,historical linguistics,2,determining,2,required to achieve,2
the proposed ensemble approach,2,consistent results,2,fake news detection,2,the effect,2,bias,2,used to measure,2,to learn,2
active learning,2,neural machine translation systems,2,pre-trained multilingual models,2,sub,2,the translation quality,2,support,2,yield,2
the proposed baseline system,2,users,2,them,2,emotion labels,2,the field,2,encoding,2,data,2
a multilingual bert model,2,a significant improvement,2,the addition,2,these differences,2,their success,2,trained to reduce,2,associated with,2
a neural language model,2,this study,2,annotators,2,transformer-based architectures,2,raw text data,2,set,2,addressed to achieve,2
the translation,2,larger parameter sizes,2,a feature,2,videos,2,named entities,2,measured,2,removing,2
the proposed iso 24617-2 dialogue act annotation standard,2,access,2,language tags,2,glove,2,end,2,used to quantify,2,found in,2
calm resource,2,sentence embeddings,2,the state,2,datasets,2,the optimal hyperparameters,2,to enhance,2,balance,2
statistical methods,2,user modification capabilities,2,a rule-based system,2,the benefits,2,the evaluation,2,extended,2,integrated into,2
the proposed annotation guidelines,2,a multilingual model,2,the target side,2,the constraints,2,different language pairs,2,used to derive,2,balancing,2
domain,2,sentiment lexicons,2,tools,2,spanish texts,2,these metrics,2,tuned to capture,2,masking,2
the annotation scheme,2,llama,2,the cost,2,biomedical texts,2,the creation,2,improved through,2,known,2
self-distillation,2,indirect supervision,2,occurrence,2,reliability,2,language identification tasks,2,differ,2,c1 trained,2
the variability,2,biases,2,post,2,information retrieval systems,2,the base models,2,tuned to achieve,2,describing,2
a constraint-driven iterative algorithm,2,limited data,2,relatedness,2,translations,2,factors,2,alleviate,2,adapting,2
the mapping,2,the syntactic correctness,2,a neural model,2,bleu,2,the relationships,2,covers,2,used to investigate,2
the impact,2,text classification,2,inference,2,relationships,2,wmt,2,contributing to,2,distinguish,2
data augmentation,2,the fracas test suite,2,a comprehensive framework,2,topics,2,the complexities,2,domain,2,make,2
the digitization,2,markup tags,2,the processing,2,multilingual bert,2,the time,2,comparing,2,to classify,2
patterns,2,slavic languages,2,relevant information,2,mqm,2,interpreting,2,crowdsourcing,2,affecting,2
paraphrased references,2,the structure,2,a supervised learning approach,2,pre-trained models,2,arabic,2,adapted to perform,2,ensuring,2
region,2,natural language processing tasks,2,the creation,2,other types,2,this ability,2,annotated,2,processing,2
the proposed multilingual corpus,2,sentence length,2,the effect,2,word,2,clusters,2,combines,2,learned using,2
a more efficient method,2,rules,2,interactions,2,natural language,2,the correlation,2,assessed using,2,applied,2
an approach,2,long document classification,2,speech recognition,2,the legal domain,2,scenarios,2,word,2,includes,2
thought,2,longer segments,2,linguistic data,2,the weights,2,textual similarity tasks,2,to validate,2,to train,2
algorithm,2,patterns,2,large-scale datasets,2,the classification,2,lexical replacements,2,ec1 to annotate,2,collecting,2
a production-based learning model,2,paraphrases,2,nba players' deviations,2,social justice,2,the complexity,2,trained to generate,2,process,2
the detection,2,multilingual translation models,2,the ability,2,multilingual parsing,2,at least 90%,2,used to estimate,2,ec8 using,2
named entity recognition,2,temporal expressions,2,event,2,the discoverability,2,the comparison,2,distributed,2,promote,2
the translation quality,2,the time,2,parallel corpora,2,mt5,2,modifications,2,to determine,2,,
a supervised learning,2,a bert model,2,biomedical texts,2,italian,2,the proposed model,2,tuned to improve,2,,
sequence labeling,2,back-translated data,2,pre-trained models,2,the degree,2,medical terminology,2,,,,
hybrid grammars,2,a bleu score,2,the elc-bert architecture,2,extraction,2,identification,2,,,,
higher accuracy,2,precision,2,paragraph-level translations,2,comprehension,2,the potential limitations,2,,,,
a deep learning architecture,2,language modeling,2,coreference resolution,2,game,2,neural machine translation systems,2,,,,
a curriculum,2,atdt,2,hindi,2,the coverage,2,limitations,2,,,,
a neural network-based approach,2,a small amount,2,information density/surprisal,2,individuals,2,dialectal,2,,,,
representations,2,criteria,2,competitive results,2,coreference resolution,2,the optimal approach,2,,,,
a large dataset,2,limitations,2,models,2,noisy environments,2,parsing models,2,,,,
entities,2,position,2,the system,2,a corpus,2,content,2,,,,
autoextend,2,end,2,a machine reading comprehension task,2,the limitations,2,morphological disambiguation,2,,,,
specialized terms,2,syntactic features,2,a viable alternative,2,transfer learning techniques,2,back-translation,2,,,,
conjunction,2,the lexicon,2,summarization,2,question,2,law,2,,,,
the position,2,novel variants,2,the-shelf,2,machine translation output,2,verbs,2,,,,
a linear classifier,2,transformer-based models,2,french,2,multilingual machine translation,2,the best results,2,,,,
can pre-trained language models,2,human annotators,2,semantic relations,2,a large corpus,2,the key differences,2,,,,
an automatic system,2,existing metrics,2,speech recognition systems,2,target languages,2,the addition,2,,,,
,,word representations,2,emotions,2,labels,2,the parser,2,,,,
,,combination,2,the detection,2,the average accuracy,2,signs,2,,,,
,,semantic parsing,2,hours,2,data,2,dialogue act labels,2,,,,
,,shinra-5lds,2,the influence,2,the key differences,2,machine translations,2,,,,
,,machine learning,2,assamese,2,backtranslation,2,time,2,,,,
,,variation sets,2,bilingual parallel corpora,2,medical text classification,2,morphological features,2,,,,
,,a supervised learning model,2,human judgments,2,argument,2,biomedical translation tasks,2,,,,
,,training,2,misleading translations,2,stance detection,2,pre-trained language models,2,,,,
,,the helsinki finite-state transducer toolkit,2,comprehension,2,persian language,2,ter,2,,,,
,,the trade-off,2,sexist content,2,information extraction,2,a different domain,2,,,,
,,conventions,2,understanding,2,text classification,2,unseen data,2,,,,
,,higher bleu scores,2,phrases,2,emotions,2,cases,2,,,,
,,phrases,2,complex questions,2,the semantic meaning,2,bulgarian,2,,,,
,,questions,2,embeddings,2,traditional methods,2,picto,2,,,,
,,johns hopkins university bible corpus,2,fasttext models,2,empathy,2,the metadata,2,,,,
,,attention mechanisms,2,house,2,relation,2,semantic information,2,,,,
,,the correlation,2,the relevance,2,text data,2,pre-trained word embeddings,2,,,,
,,coreference resolution,2,human evaluators,2,the likelihood,2,utterances,2,,,,
,,mtsi-bert,2,writers,2,a text,2,the translation performance,2,,,,
,,generalizability,2,historical newspapers,2,the system-level,2,a corpus,2,,,,
,,metaphors,2,a named entity recognition system,2,domain adaptation,2,recall,2,,,,
,,wikipedia articles,2,an unsupervised machine translation system,2,cross-lingual transfer,2,electronic health records,2,,,,
,,features,2,handwritten digits,2,perplexity,2,annotation,2,,,,
,,ner,2,quality,2,email conversations,2,the task,2,,,,
,,the understanding,2,covid-19 misinformation,2,a larger corpus,2,machine learning models,2,,,,
,,training data,2,hfst,2,recall,2,implications,2,,,,
,,translation,2,the degree,2,a transformer-based architecture,2,the language,2,,,,
,,muclex,2,non,2,the-shelf,2,the effects,2,,,,
,,new languages,2,a data,2,coherence,2,irony,2,,,,
,,telegram posts,2,human intervention,2,llms,2,khasi,2,,,,
,,text classification tasks,2,jhubc,2,natural language processing techniques,2,lemmatization,2,,,,
,,finite-state covering grammars,2,a lexical relation,2,spanish,2,these features,2,,,,
,,mbert,2,abusive language,2,the time complexity,2,a precision,2,,,,
,,open information extraction,2,romanian,2,representation,2,a machine learning model,2,,,,
,,medical terminology,2,crowd-sourced images,2,inter-annotator agreement,2,,,,,,
,,the linguistic patterns,2,classification,2,use,2,,,,,,
,,lexical features,2,rst-dt,2,user data,2,,,,,,
,,a diverse set,2,bert-based models,2,unstructured text,2,,,,,,
,,incorrect predictions,2,word difficulty,2,a high level,2,,,,,,
,,a corpus,2,emotion,2,metaphor detection,2,,,,,,
,,a knowledge base,2,deep learning techniques,2,automatic metrics,2,,,,,,
,,post,2,a text,2,the lexc formalism,2,,,,,,
,,the needs,2,bleu,2,a machine learning approach,2,,,,,,
,,vocabulary,2,machine learning,2,monolingual embeddings,2,,,,,,
,,gender bias,2,linguistic analysis,2,the key characteristics,2,,,,,,
,,,,event information,2,a more nuanced understanding,2,,,,,,
,,,,arabic dialects,2,the incorporation,2,,,,,,
,,,,less-resourced languages,2,under-resourced languages,2,,,,,,
,,,,social media,2,sensitive information,2,,,,,,
,,,,emotion detection,2,human annotators,2,,,,,,
,,,,italian,2,industry requirements,2,,,,,,
,,,,a generic language model,2,corresponding descriptions,2,,,,,,
,,,,the content,2,f1 scores,2,,,,,,
,,,,editing,2,pdtb,2,,,,,,
,,,,a baseline system,2,ability,2,,,,,,
,,,,constraints,2,existing treebanks,2,,,,,,
,,,,a high degree,2,a sentence,2,,,,,,
,,,,high precision,2,the text,2,,,,,,
,,,,news headlines,2,das,2,,,,,,
,,,,,,the potential benefits,2,,,,,,
,,,,,,cases,2,,,,,,
,,,,,,sequence,2,,,,,,
,,,,,,online news articles,2,,,,,,
,,,,,,documents,2,,,,,,
,,,,,,xlnet,2,,,,,,
,,,,,,the overall accuracy,2,,,,,,
,,,,,,marathi,2,,,,,,
,,,,,,consistency,2,,,,,,
,,,,,,twitter,2,,,,,,
