EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
,,a high accuracy,2,understanding,2,the key differences,2,a machine learning model,2,prompting,2,,
,,deep learning methods,2,writers,2,low-resource scenarios,2,,,approaches,2,,
,,novel variants,2,traditional methods,2,participants,2,,,grained,2,,
,,a feature extractor,2,quality,2,empathy,2,,,designed to improve,2,,
,,language modeling,2,the relevance,2,natural language processing techniques,2,,,surpass,2,,
,,speech recognition systems,2,fake reviews detection,2,the ability,2,,,leverages,2,,
,,entity recognition,2,chinese text,2,explanations,2,,,used to represent,2,,
,,the proposed dataset,2,critical error detection,2,user data,2,,,to optimize,2,,
,,domain-specific knowledge,2,covid-19 misinformation,2,the meaning,2,,,improved using,2,,
,,this study,2,processing time,2,unstructured text,2,,,measured in,2,,
,,higher bleu scores,2,word meanings,2,conjunction,2,,,initializing,2,,
,,domain adaptation,2,jhubc,2,a rule-based approach,2,,,established,2,,
,,johns hopkins university bible corpus,2,a recurrent neural network,2,the time complexity,2,,,ec1 to extract,2,,
,,the degree,2,house,2,translation,2,,,used to induce,2,,
,,a noising module,2,argument,2,these techniques,2,,,determining,2,,
,,mtsi-bert,2,social media text,2,a benchmark dataset,2,,,transfer,2,,
,,criteria,2,neural parsers,2,historical documents,2,,,support,2,,
,,metaphors,2,non,2,the comparison,2,,,to accommodate,2,,
,,conventions,2,nlp,2,machine learning techniques,2,,,optimized to reduce,2,,
,,machine learning-based approaches,2,embeddings,2,classification,2,,,reranking,2,,
,,a distributional thesaurus,2,classification,2,models,2,,,convey,2,,
,,wikipedia articles,2,machine translation output,2,human annotators,2,,,to represent,2,,
,,training data,2,clinical text,2,english translations,2,,,injecting,2,,
,,new languages,2,deep learning techniques,2,entity,2,,,required,2,,
,,telegram posts,2,the complexity,2,nlp models,2,,,indicated by,2,,
,,human evaluators,2,codenames,2,genes,2,,,ec1 from,2,,
,,translation,2,hfst,2,the text,2,,,achieved by,2,,
,,a dataset,2,event information,2,das,2,,,perform,2,,
,,wordnet,2,roberta,2,a sentence,2,,,spotting,2,,
,,idioms,2,individuals,2,these methods,2,,,generalized to,2,,
,,attention mechanisms,2,russian,2,users,2,,,used to derive,2,,
,,open information extraction,2,machine learning,2,the lexc formalism,2,,,extended,2,,
,,cognates,2,metaphor detection,2,online news articles,2,,,boosted,2,,
,,shinra-5lds,2,speed,2,german,2,,,extracted,2,,
,,the linguistic patterns,2,labeled data,2,lexical simplification,2,,,tuned to capture,2,,
,,the helsinki finite-state transducer toolkit,2,information extraction,2,identification,2,,,used to classify,2,,
,,addition,2,a high degree,2,xlnet,2,,,encoding,2,,
,,a diverse set,2,translation quality,2,named entity recognition,2,,,feature,2,,
,,finite-state covering grammars,2,high precision,2,the overall accuracy,2,,,required to achieve,2,,
,,news articles,2,offensive language,2,high-resource languages,2,,,collecting,2,,
,,machine learning,2,news headlines,2,a precision,2,,,prioritize,2,,
,,a knowledge base,2,,,,,,,covers,2,,
,,incorrect predictions,2,,,,,,,preprocessing,2,,
,,other language pairs,2,,,,,,,learned from,2,,
,,attention mechanism,2,,,,,,,crowdsourcing,2,,
,,low-resource language pairs,2,,,,,,,to address,2,,
,,a corpus,2,,,,,,,labeled,2,,
,,constraints,2,,,,,,,cluster,2,,
,,the sentiment,2,,,,,,,adapted to perform,2,,
,,sentiment,2,,,,,,,word,2,,
,,,,,,,,,,to incorporate,2,,
,,,,,,,,,,describing,2,,
,,,,,,,,,,differ,2,,
,,,,,,,,,,ec1 to annotate,2,,
,,,,,,,,,,combines,2,,
,,,,,,,,,,annotated,2,,
,,,,,,,,,,used to estimate,2,,
,,,,,,,,,,domain,2,,
,,,,,,,,,,trained to generate,2,,
,,,,,,,,,,tuned to improve,2,,
,,,,,,,,,,distributed,2,,
,,,,,,,,,,affecting,2,,
,,,,,,,,,,translating from,2,,
,,,,,,,,,,balancing,2,,
,,,,,,,,,,sacrificing,2,,
,,,,,,,,,,optimized to improve,2,,
,,,,,,,,,,converting,2,,
