EC1 chunks,EC1 frequency,EC2 chunks,EC2 frequency,EC3 chunks,EC3 frequency,EC4 chunks,EC4 frequency,EC5 chunks,EC5 frequency,PC1 chunks,PC1 frequency,PC2 chunks,PC2 frequency
a kāraka-based approach,2,the paper,2,translation accuracy,2,cognates,2,word order,2,used to confirm,2,found,2
transformer-based machine learning models,2,external translations,2,nmt,2,the implications,2,specific linguistic features,2,employed for,2,to produce,2
the collaborative,2,frames,2,approach,2,basque,2,neural networks,2,employed to evaluate,2,improved for,2
universal dependencies,2,a new model,2,the relationship,2,facial expressions,2,tweets,2,adopting,2,spent on,2
the most effective approach,2,gemba-mqm,2,depression,2,comprehension,2,contradiction,2,used to extract,2,collected using,2
an unsupervised method,2,tag’em,2,monolingual data,2,the characteristics,2,a dependency parser,2,evaluated across,2,ec1 compar,2
features,2,machine translation evaluation,2,the abstract meaning representation framework,2,biomedical translation tasks,2,deepl translator,2,optimized to facilitate,2,improved to achieve,2
machine learning methods,2,location,2,terminology translation,2,parsing performance,2,occupations,2,utilized to measure,2,reproducing,2
word2vec,2,a subset,2,indic languages,2,frequency,2,scores,2,reduced,2,to address,2
edinburgh,2,transformer-based language models,2,the output,2,nli,2,techniques,2,used to enhance,2,defined on,2
the transformation,2,semantic metadata,2,paraphrases,2,transformer-based neural machine translation systems,2,fine-grained entity,2,naming,2,ec1 be impr,2
the proposed framework,2,simplification,2,nlp tasks,2,isolated sign recognition,2,sequence,2,addressed,2,analyzed,2
the taxonomy,2,graph convolutional networks,2,topic models,2,authors,2,this process,2,distinguishing between,2,distinguish between,2
predictions,2,sentiment classification,2,the identity,2,these issues,2,dataset,2,used to generate,2,debiasing,2
machine,2,the fluency,2,xlm-roberta,2,elmo,2,additional data,2,investigating,2,to ensure,2
the spatial multi-arrangement approach,2,recall,2,understanding,2,the addition,2,transformer-based multilingual neural machine translation systems,2,generated from,2,leverages,2
the utilization,2,diversity,2,word difficulty,2,dialogue systems,2,windowdiff,2,detect,2,ec5 contribut,2
the temporal evolution,2,parsing performance,2,existing datasets,2,each,2,self-harm,2,reveal,2,quantify,2
the optimal balance,2,a multilingual chatbot model,2,translation systems,2,the automatic detection,2,post-editing effort,2,alleviate,2,", compare",2
a machine translation system,2,transformer-based models,2,ancient scripts,2,a question,2,qde,2,discovering,2,maintains,2
the proposed annotation guideline,2,a transformer model,2,recurrent neural network,2,improved performance,2,the baseline,2,utilized to construct,2,benchmarks,2
deep learning-based models,2,srl,2,mllms,2,parsing,2,scratch,2,ec1 to,2,augmented with,2
the bag,2,behavior,2,algorithms,2,rouge,2,the improvement,2,grounding,2,evaluated by,2
model fusing,2,vocabulary,2,gpt-4,2,baselines,2,machine translation quality,2,introduce,2,measured using,2
the proposed algorithm,2,templates,2,the selection,2,the word,2,simultaneous translation,2,created to improve,2,1 trained,2
the watset meta-algorithm,2,the incorporation,2,character embeddings,2,existing resources,2,speakers,2,adapted,2,quantified,2
an nmt system,2,machine learning models,2,ability,2,vocabulary,2,language-specific models,2,transliterated,2,projecting,2
an algorithm,2,a large language model,2,downstream nlp tasks,2,discourse-level neural machine translation,2,reasoning,2,used to validate,2,process,2
the adaptation,2,tilm,2,an input article,2,the potential benefits,2,filtering rules,2,increase,2,integrated into,2
annotation scheme,2,cnn,2,nlp applications,2,semantic parsing,2,similar languages,2,crowdsourcing,2,compared with,2
neural networks,2,tokenization,2,subjectivity,2,rnns,2,claims,2,developed to generate,2,followed by,2
the transformer-xl model,2,eye-tracking data,2,bt,2,various domains,2,ocr error detection,2,designed to optimize,2,utilized to identify,2
multilingual word embeddings,2,indian languages,2,t5,2,content,2,the classification,2,utilized to generate,2,play in,2
learning models,2,supervision,2,machine learning,2,classification tasks,2,entity recognition,2,according to,2,combined,2
syntactic information,2,existing methods,2,the test data,2,an ambiguous word,2,translation models,2,word,2,validating,2
dependency parsers,2,embeddings,2,mbart,2,biomedical translation,2,dependencies,2,enables,2,pretraining affect,2
the optimal amount,2,examples,2,grammatical errors,2,transformer-based systems,2,the process,2,modified,2,to support,2
geczlex,2,rnn,2,sequences,2,mnmt,2,improvements,2,segmenting,2,visualize,2
the topical influence language model,2,privacy,2,russian,2,limited training data,2,a document translation system,2,used to perform,2,built using,2
a pipeline,2,the research challenges,2,news articles,2,a recurrent neural network,2,counter,2,digitizing,2,to evaluate,2
the share-and-transfer framework,2,related words,2,the size,2,question difficulty estimation,2,crowdsourcing,2,spotting,2,to reduce,2
the writing styles,2,embedding model,2,modern standard arabic (msa,2,aspect,2,relationships,2,limiting,2,perform on,2
the cca measure,2,domain adaptation,2,annotation,2,other techniques,2,the collection,2,annotated with,2,according to,2
a custom tokenizer,2,riqua,2,ted-talks,2,sentiment,2,metadata,2,determined using,2,used to develop,2
fine-tuning deltalm,2,claims,2,the degree,2,augmentation,2,rnns,2,yield,2,c1 based,2
a rule-based model,2,the transformer model,2,bias,2,the availability,2,multiple language pairs,2,utilized to evaluate,2,understand,2
the recurrent neural network,2,scenarios,2,transformer-based architecture,2,phrases,2,dialogue tasks,2,optimized for,2,spoken,2
a deep learning system,2,attention,2,results,2,pre,2,results,2,to reduce,2,1 contributing,2
a bert-based method,2,generative models,2,covid-19 vaccines,2,italian politicians,2,the wmt news translation task,2,-,2,exploiting,2
the extraction,2,representation,2,lexico-semantic annotation,2,translation tasks,2,low-resource settings,2,model,2,presented in,2
this paper,2,the learning,2,the mix-up method,2,subwords,2,traditional supervised learning models,2,document,2,summarizing,2
the compatibility,2,neural models,2,gender bias,2,instructional texts,2,extraction,2,labeled,2,adopting,2
deep neural networks,2,(mt) metrics,2,the influence,2,long documents,2,cross-lingual transfer,2,used to differentiate between,2,inform,2
these questions,2,task-oriented dialog systems,2,revisions,2,metadata,2,a movie script,2,employed to create,2,applied,2
neural machine translation models,2,the english-russian neural machine translation system,2,analysis,2,traditional masked language modeling,2,the istic's submission,2,affecting,2,following,2
the proposed one-stage framework,2,an approach,2,better performance,2,pseudo,2,the precision,2,replicating,2,used for,2
the transformer-based architecture,2,a machine reading comprehension model,2,prediction,2,conditions,2,another,2,addressed to facilitate,2,evaluated in,2
opustools,2,character-level representations,2,twitter,2,cross-lingual word embeddings,2,new languages,2,automate,2,discriminating,2
the implementation,2,a sentiment analysis model,2,a graph,2,approaches,2,the efficacy,2,to provide,2,ec1 train,2
the rule-based approach,2,the intent,2,catastrophic forgetting,2,the proposed model,2,the feasibility,2,used to analyze,2,produced,2
the optimal machine learning model,2,the structure,2,a literary work,2,word-level,2,the models,2,improved to increase,2,indicate,2
the relationship,2,contextual information,2,emotions,2,bulgarian,2,language resources,2,optimized to enhance,2,assessing,2
the properties,2,conceptnet,2,qe,2,wikipedia,2,semantic parsing,2,supporting,2,adding,2
the transformer architecture,2,indexed grammars,2,relevant semantic knowledge,2,information extraction,2,participants,2,considered,2,testing,2
a correlation,2,different layers,2,the purpose,2,applications,2,lexical resources,2,framing,2,surpass,2
the proposed algorithms,2,the xlm-roberta model,2,the automated creation,2,answer,2,grammaticality,2,modeled,2,to understand,2
the optimal architecture,2,minimalist grammars,2,method,2,the mpaa rating,2,individuals,2,vary among,2,of ec1 b,2
the bilingual parallel corpus,2,coreference resolution,2,a set,2,text,2,other methods,2,used by,2,constructing,2
the constraint-based parser,2,masked language modeling,2,hashtags,2,inuktitut,2,the wmt20 quality estimation,2,created,2,update,2
the amount,2,the balance,2,the dataset,2,czech,2,relative clauses,2,extended,2,combating,2
swiss-al,2,vocabularies,2,representation,2,human assessment,2,references,2,categorizing,2,accounting for,2
machine learning,2,events,2,the improvement,2,finite-state automata,2,low-resource indic language translation tasks,2,introduced to improve,2,resultative,2
the representations,2,shifts,2,less-resourced languages,2,one language,2,children,2,contribute,2,consider,2
term extraction,2,the challenge,2,the compare-aggregate framework,2,quality estimation,2,interactions,2,projecting,2,ranking,2
the selection,2,nmt,2,the dynamics,2,the interpretation,2,account,2,mimicking,2,differ,2
clinical terminology,2,limitations,2,transcription,2,supervised models,2,conversational agents,2,scoring,2,to infer,2
an automatic system,2,hindi,2,a recurrent neural network,2,japanese,2,part,2,employed to measure,2,writing,2
the-shelf,2,jparacrawl,2,non-inclusive language,2,cds,2,the news,2,contains,2,utilize,2
a situation model,2,raunak,2,swow,2,this study,2,the reliability,2,searching,2,highlighting,2
the slide metric,2,morphology,2,the integration,2,the bengali↔hindi news translation task,2,information,2,adjusting,2,annotate,2
the multitask lstm-based neural network,2,areta,2,a diverse set,2,multilingual machine translation,2,the united states,2,developed to evaluate,2,influence,2
the proposed metropolis-hastings sampler,2,comprehension,2,the meaning,2,lemmas,2,focus,2,vary between,2,extracted from,2
machine translation metrics,2,data diversification,2,the university,2,glove,2,different levels,2,built for,2,oriented,2
r-drop,2,cross-lingual word embeddings,2,machine translation models,2,actions,2,domain-specific machine translation tasks,2,adapted to create,2,achieves,2
evald,2,a database,2,part,2,bert embeddings,2,algorithms,2,parsing using,2,ensembling,2
automatic speech recognition,2,transformer,2,word-level auto-completion,2,negation,2,the syntactic correctness,2,extracted from,2,differ from,2
morphological features,2,torot,2,participants,2,news articles,2,the bleu scores,2,accessing,2,performing,2
a multi-task fine-tuned cross-lingual language model,2,asr,2,transformer-based neural machine translation systems,2,sampling,2,precision,2,partitioning,2,learnt,2
f1 score,2,better align,2,free text questions,2,(ape,2,youtube's comment section,2,specifying,2,,
qe,2,the fragmentation,2,the self-learning method,2,processing,2,word similarity,2,trained to predict,2,,
a single model,2,zero pronoun resolution,2,environmental terms,2,the comparison,2,a decoding mechanism,2,improved to reduce,2,,
the ontology,2,a model,2,low-resource machine translation systems,2,gcn,2,their ability,2,studying,2,,
the dual attention model,2,xlm,2,human annotators,2,the polish language,2,the integration,2,associating,2,,
metric,2,multiple language pairs,2,reranking,2,the biomedical domain,2,size,2,estimate,2,,
ensemble methods,2,lexical resources,2,specific domains,2,the prediction accuracy,2,xlnet,2,provided,2,,
filtering,2,distribution,2,frequency,2,xibe,2,sentiment transfer,2,defined,2,,
monolingual pre-trained language models,2,the creation,2,.,2,these models,2,questions,2,injecting,2,,
the proposed de-identification method,2,flames detector,2,the improvements,2,noisy data,2,the amount,2,used to associate,2,,
the evaluation metrics,2,bulgarian dialects,2,machine translation (mt) systems,2,reproducibility,2,the transformer model,2,required for,2,,
ensemble techniques,2,large-scale language models,2,workers,2,this performance,2,rouge-l,2,to investigate,2,,
a bert language model,2,the hit-scir system,2,treebanks,2,recall,2,qe,2,stemming,2,,
entities,2,event,2,sentiment,2,classification,2,back translation,2,summarizing,2,,
bidirectional lstms,2,linguistic properties,2,representations,2,collusion scams,2,the categories,2,tailored for,2,,
the mbart model,2,swiss german sign language,2,transformer-based neural machine translation models,2,english translation,2,the limitations,2,utilized to create,2,,
the variation,2,citation recommendation,2,critical errors,2,methods,2,text classification,2,reproducing,2,,
sas,2,a dataset,2,plms,2,a dictionary,2,narrative theory,2,mitigated to improve,2,,
a multi-task model,2,aspect-based sentiment analysis,2,disordered speech,2,test data,2,the polish language,2,used to construct,2,,
multilingual language models,2,word alignment,2,terminologies,2,the handling,2,,,typing,2,,
a neural machine translation model,2,fine-grained classification,2,language learning,2,sentence ranking,2,,,pretraining,2,,
aspect-based sentiment analysis,2,named entity disambiguation,2,dsgs,2,the domain adaptation,2,,,establish,2,,
named entity recognition,2,udpipe,2,sentence-level quality estimation,2,users,2,,,spoken,2,,
natural language processing,2,pre-trained language models,2,linear models,2,different techniques,2,,,to train,2,,
nlp,2,irony activators,2,different dialects,2,arabic,2,,,classify,2,,
the proposed unsupervised method,2,medical text,2,dacr,2,scientific abstracts,2,,,optimized using,2,,
block backtranslation techniques,2,source,2,classification,2,asr,2,,,create,2,,
the nits-cnlp's unsupervised machine translation model,2,fasttext,2,telegram,2,text generation,2,,,weighting,2,,
the proportion,2,natural language generation,2,comprehension,2,marathi,2,,,maintained,2,,
a corpus,2,the integration,2,relation classification tasks,2,the neural model,2,,,reports,2,,
synthetic data,2,adequacy,2,ontologies,2,the study,2,,,answer,2,,
mbart,2,cdec,2,top,2,a resource-rich language,2,,,to answer,2,,
a pre-trained transformer model,2,mt5,2,indo-european languages,2,word-level auto-completion,2,,,prompting,2,,
,,chatgpt,2,hindi,2,offensive texts,2,,,to ec8,2,,
,,the abc treebank,2,mt,2,knowledge distillation,2,,,compare on,2,,
,,a hybrid model,2,neural models,2,sql,2,,,developed using,2,,
,,caption generation,2,the methods,2,text collections,2,,,reconstructing,2,,
,,the strength,2,inuktitut,2,two languages,2,,,generate,2,,
,,subsets,2,token masking,2,biobert,2,,,recognize,2,,
,,multilingual embeddings,2,metrics,2,plms,2,,,architectures,2,,
,,a copy mechanism,2,metric scores,2,mariannmt-based neural systems,2,,,align with,2,,
,,nli,2,weights,2,a noun,2,,,treating,2,,
,,machine translation systems,2,language resources,2,data diversification,2,,,to construct,2,,
,,house,2,multimodal data,2,,,,,encountered,2,,
,,the potential,2,pretrained models,2,,,,,related to,2,,
,,word sense changes,2,brazilian portuguese,2,,,,,to measure,2,,
,,the encoder,2,shogi commentaries,2,,,,,overcoming,2,,
,,encoder-decoder models,2,the language,2,,,,,based named,2,,
,,"""ambiguous sentences",2,a single model,2,,,,,developed in,2,,
,,methods,2,wsd,2,,,,,imbalanced,2,,
,,lstms,2,tools,2,,,,,ec1 with,2,,
,,dependency parsing,2,image,2,,,,,not use,2,,
,,density,2,the multidimensional quality metrics (mqm) scores,2,,,,,differ from,2,,
,,clinical cases,2,the frequency,2,,,,,reporting,2,,
,,the semantic distance,2,potential,2,,,,,surpassing,2,,
,,,,external knowledge,2,,,,,improved to match,2,,
,,,,gcns,2,,,,,tagged,2,,
,,,,sanskrit,2,,,,,approaches,2,,
,,,,the-loop,2,,,,,to model,2,,
,,,,formality,2,,,,,have for,2,,
,,,,recognition,2,,,,,translating between,2,,
,,,,pos,2,,,,,forcing,2,,
,,,,f30kent-jp,2,,,,,developed to address,2,,
,,,,sentence splitting,2,,,,,fed with,2,,
,,,,upper sorbian,2,,,,,logging,2,,
,,,,adapters,2,,,,,combine,2,,
,,,,(ape,2,,,,,involving,2,,
,,,,hate speech,2,,,,,written,2,,
,,,,homogeneity metrics,2,,,,,regularizing,2,,
,,,,long-text stories,2,,,,,replacing,2,,
,,,,an adjective,2,,,,,averaged,2,,
,,,,,,,,,,allows,2,,
,,,,,,,,,,setting,2,,
,,,,,,,,,,leverages,2,,
,,,,,,,,,,captures,2,,
,,,,,,,,,,computing,2,,
,,,,,,,,,,assisting,2,,
