research_question,templated_question,EC1,EC2,EC3,EC4,EC5,PC1,PC2
What is the impact of the improvements in the extraction pipeline on the completeness and accuracy of the Universal Morphology (UniMorph) project's data for various languages?,What is the impact of EC1 in EC2 on EC3 and EC4 of EC5 for EC6?,the improvements,the extraction pipeline,the completeness,accuracy,the Universal Morphology (UniMorph) project's data,,
"What is the effectiveness of the manual transcription guidelines and procedures used in the ""TLT-school"" corpus in comparison to an automatic speech recognition system?",What is the effectiveness of EC1 and EC2 PC1 EC3 in EC4 to EC5?,the manual transcription guidelines,procedures,"the ""TLT-school"" corpus",comparison,an automatic speech recognition system,used in,
"What best practices can be implemented to minimize coding errors in human evaluation experiments in NLP, such as loading the correct system outputs for evaluation?","What EC1 can be PC1 EC2 in EC3 in EC4, such as PC2 EC5 for EC6?",best practices,coding errors,human evaluation experiments,NLP,the correct system outputs,implemented to minimize,loading
What is the effect of data cropping and ranking-based score normalization on the performance of the UNITE model during the pre-training and fine-tuning phases?,What is the effect of EC1 on the performance of EC2 during EC3?,data cropping and ranking-based score normalization,the UNITE model,the pre-training and fine-tuning phases,,,,
What is the performance of different machine learning models on the task of automatic collocation identification using the GerCo dataset for German?,What is the performance of EC1 on EC2 of EC3 using EC4 for EC5?,different machine learning models,the task,automatic collocation identification,the GerCo dataset,German,,
How does the granularity of different labels used to annotate WiMCor corpus impact the performance of metonymy resolution systems?,How does the granularity of EC1 PC1 EC2 the performance of EC3?,different labels,WiMCor corpus impact,metonymy resolution systems,,,used to annotate,
"How can neuro-physiological signals, such as EEG and electro-physiological activity, in BrainKT be used to study information exchanges and common ground instantiation in conversation?","How can PC1, such as EC2, in BrainKT be PC2 EC3 and EC4 in EC5?",neuro-physiological signals,EEG and electro-physiological activity,information exchanges,common ground instantiation,conversation,EC1,used to study
Can the hierarchical scheme used in SeCoDa for word sense annotation provide a more accurate and coarse-grained representation of word senses compared to WordNet for complex word identification tasks?,Can PC2d in EC2 for EC3 PC1 EC4 of EC5 compared to EC6 for EC7?,the hierarchical scheme,SeCoDa,word sense annotation,a more accurate and coarse-grained representation,word senses,provide,EC1 use
What part-of-speech features and indices can be used to differentiate between the discourse of depressed and non-depressed individuals on social media platforms?,What part-of-EC1 features and EC2 can be PC1 EC3 of EC4 on EC5?,speech,indices,the discourse,depressed and non-depressed individuals,social media platforms,used to differentiate between,
What are the feasible methods to automatically model the continuous aspect of semantic and paralinguistic information at the conversation level using the AlloSat corpus?,What are PC1 PC2 automatically PC2 EC2 of EC3 at EC4 using EC5?,the feasible methods,the continuous aspect,semantic and paralinguistic information,the conversation level,the AlloSat corpus,EC1,model
What is the effectiveness of the ACoLi Dictionary Graph in facilitating translation inference across multiple dictionaries for Natural Language Processing tasks?,What is the effectiveness of EC1 in PC1 EC2 across EC3 for EC4?,the ACoLi Dictionary Graph,translation inference,multiple dictionaries,Natural Language Processing tasks,,facilitating,
What is the impact of fine-tuning Transformer-based pretrained language models on the classification accuracy of EuroVoc in 22 languages compared to the JEX tool?,What is the impact of EC1 on EC2 of EC3 in EC4 compared to EC5?,fine-tuning Transformer-based pretrained language models,the classification accuracy,EuroVoc,22 languages,the JEX tool,,
Can a multilingual model trained to exploit language relatedness outperform baseline models in text classification tasks for Indian languages?,Can a multilingual model PC1 EC1 outperform EC2 in EC3 for EC4?,language relatedness,baseline models,text classification tasks,Indian languages,,trained to exploit,
How can the size of machine translation models be optimized to fit within a range of limited storage capacities (7.5 to 150 MB) while maintaining acceptable latency (5–17 ms)?,How can EC1 ofPC2t within EC3 of EC4 (EC5) while PC1 EC6 (EC7)?,the size,machine translation models,a range,limited storage capacities,7.5 to 150 MB,maintaining, EC2 be optimized to fi
"Can text-based feature spaces be more precise predictors than syntactic typological distances for predicting the success of cross-lingual UD parsing, especially for shorter distances?","Can EC1 be EC2 than EC3 for PC1 EC4 of EC5, especially for EC6?",text-based feature spaces,more precise predictors,syntactic typological distances,the success,cross-lingual UD parsing,predicting,
How effective is a multi-binary neural classification task in generating linguistically meaningful grapheme segmentations with improved accuracy compared to the current forced alignment process in G2P correspondences?,How effective is EC1 in PC1 EC2 with EC3 compared to EC4 in EC5?,a multi-binary neural classification task,linguistically meaningful grapheme segmentations,improved accuracy,the current forced alignment process,G2P correspondences,generating,
How can the MARCELL CEF Telecom project's annotated legal document corpus be leveraged for improving the accuracy of machine learning models in cross-lingual terminological data extraction and classification?,How can EC1 be PC1 improving the accuracy of EC2 in EC3 and EC4?,the MARCELL CEF Telecom project's annotated legal document corpus,machine learning models,cross-lingual terminological data extraction,classification,,leveraged for,
How can we extend the template approach for measuring gender bias in natural language processing models to better account for the non-binary nature of gender?,How can we PC1 EC1 for PC2 EC2 in EC3 PC3 better PC3 EC4 of EC5?,the template approach,gender bias,natural language processing models,the non-binary nature,gender,extend,measuring
How can the self-synthesis approach be optimized to effectively expand a language model's linguistic repertoire when training in limited data conditions?,How can EC1 be PC1 PC2 effectively PC2 EC2 when training in EC3?,the self-synthesis approach,a language model's linguistic repertoire,limited data conditions,,,optimized,expand
How do multi-layered attention models contribute to the performance of the hybrid neural network architecture in learning attentive context embeddings for early rumor detection on social media platforms?,How doPC2te to the performance of EC2 in PC1 EC3 for EC4 on EC5?,multi-layered attention models,the hybrid neural network architecture,attentive context embeddings,early rumor detection,social media platforms,learning, EC1 contribu
"Furthermore, how does the use of additional pseudo-parallel data mined from monolingual corpora for pretraining affect translation performance in these language directions?","Furthermore, how does PC2 EC1 mined from EC2 for PC1 EC3 in EC4?",additional pseudo-parallel data,monolingual corpora,translation performance,these language directions,,pretraining affect,the use of
How can differences in negation annotation schemes and tokenization methods across languages be addressed to facilitate the merging of existing negation-annotated corpora?,How can differences in EC1 and EC2 across EC3 be PC1 EC4 of EC5?,negation annotation schemes,tokenization methods,languages,the merging,existing negation-annotated corpora,addressed to facilitate,
How can we improve the accuracy of humor generation in code-mixed Hindi-English using Attention Based Bi-Directional LSTM and word2vec embeddings?,How can we improve the accuracy of EC1 in EC2 using EC3 and EC4?,humor generation,code-mixed Hindi-English,Attention Based Bi-Directional LSTM,word2vec embeddings,,,
How does the choice of gold label acquisition strategy impact the reliability of manual classification results in automatic emotion detection from Twitter data using Ekman’s emotion model?,How does the choice of EC1 EC2 of EC3 in EC4 from EC5 using EC6?,gold label acquisition strategy impact,the reliability,manual classification results,automatic emotion detection,Twitter data,,
"What is the optimal supervised machine learning model for emotion detection in Romanian short texts, considering performance metrics such as accuracy and processing time?","What is EC1 for EC2 in EC3, considering EC4 such as EC5 and EC6?",the optimal supervised machine learning model,emotion detection,Romanian short texts,performance metrics,accuracy,,
How does the reduction of the training set of labelled memes by 40% impact the performance of the downstream model in a multimodal meme classifier?,How does EC1 of EC2 of EC3 by EC4 the performance of EC5 in EC6?,the reduction,the training set,labelled memes,40% impact,the downstream model,,
How can we improve the accuracy of investor sentiment analysis in the financial domain using sentiment-oriented word embeddings learned from StockTwits posts?,How can we improve the accuracy of EC1 in EC2 using EC3 PC1 EC4?,investor sentiment analysis,the financial domain,sentiment-oriented word embeddings,StockTwits posts,,learned from,
What is the effectiveness of the adapted KWIC engine in the Icelandic Gigaword Corpus for Natural Language Processing tasks compared to the Swedish Korp tool?,What is the effectiveness of EC1 in EC2 for EC3 compared to EC4?,the adapted KWIC engine,the Icelandic Gigaword Corpus,Natural Language Processing tasks,the Swedish Korp tool,,,
"How can the current thinking about hallucination in Large Language Models (LLMs) be refined to address the remaining limitations, and what are the associated evaluation metrics?","How can EC1 about EC2 in EC3 (EC4) be PC1 EC5, and what are EC6?",the current thinking,hallucination,Large Language Models,LLMs,the remaining limitations,refined to address,
"What acoustic features significantly contribute to the degree of hesitation in speech, as indicated by the preliminary results in the NCCFr-corpus?","What EC1 significantly PC1 EC2 of EC3 in EC4, as PC2 EC5 in EC6?",acoustic features,the degree,hesitation,speech,the preliminary results,contribute to,indicated by
What are effective methods for decomposing complex dependency graphs into simple subgraphs in the context of data-driven parsing for Mandarin Chinese grammatical relation (GR) analysis?,What are EC1 for PC1 EC2 into EC3 in the context of EC4 for EC5?,effective methods,complex dependency graphs,simple subgraphs,data-driven parsing,Mandarin Chinese grammatical relation (GR) analysis,decomposing,
How can multiple-valued logic be applied to improve the accuracy of speech understanding systems in Artificial Intelligence?,How can EC1 be PC1 the accuracy of EC2 understanding EC3 in EC4?,multiple-valued logic,speech,systems,Artificial Intelligence,,applied to improve,
"How does the proposition-level alignment approach, as a supervised classification task, perform in generating training data for salience detection, when compared to the traditional ROUGE-based unsupervised methods?","How does PC1, aPC3form in PC2 EC3 for EC4, when compared to EC5?",the proposition-level alignment approach,a supervised classification task,training data,salience detection,the traditional ROUGE-based unsupervised methods,EC1,generating
How effective is the approach of reducing relation extraction to answering simple reading comprehension questions in building accurate relation-extraction models using neural reading-comprehension techniques?,How effective is EC1 of PC1 EC2 to PC2 EC3 in PC3 EC4 using EC5?,the approach,relation extraction,simple reading comprehension questions,accurate relation-extraction models,neural reading-comprehension techniques,reducing,answering
How can we effectively automate the alignment of parallel Franch-LSF segments in a Sign Language concordancer for the purpose of feeding Sign Language translation tools?,How can we effectively PC1 EC1 of EC2 in EC3 for EC4 of PC2 EC5?,the alignment,parallel Franch-LSF segments,a Sign Language concordancer,the purpose,Sign Language translation tools,automate,feeding
How can the methodological limitations of probing classifiers in examining a wide variety of models and properties be addressed to improve their accuracy and reliability?,How can EC1 of EC2 in PC1 EC3 of EC4 and EC5 be PC2 EC6 and EC7?,the methodological limitations,probing classifiers,a wide variety,models,properties,examining,addressed to improve
"What approaches can be used to manage and analyze multi-layered, analogue primary data from various archives in the Russian Federation for language resource overarching data analysis?",What EC1 can be PC1 and PC2 EC2 from EC3 in EC4 for EC5 PC3 EC6?,approaches,"multi-layered, analogue primary data",various archives,the Russian Federation,language resource,used to manage,analyze
"How do glass-box, uncertainty-based features from neural machine translation systems impact the performance of the transformer-based predictor-estimator architecture in the WMT 2020 Shared Task on Quality Estimation?",How do EC1 from EC2 impact the performance of EC3 in EC4 on EC5?,"glass-box, uncertainty-based features",neural machine translation systems,the transformer-based predictor-estimator architecture,the WMT 2020 Shared Task,Quality Estimation,,
How can the performance of German dependency parsing be improved using a newly introduced tool that segments sentences into tree structures?,How can the performance of EC1 be PC1 EC2 that PC2 EC3 into EC4?,German dependency parsing,a newly introduced tool,sentences,tree structures,,improved using,segments
How can the analysis of Wikipedia page revisions be used to measure changes in the relationships between named entities (concepts) over time?,How can EC1 of EC2 be PC1 EC3 in EC4 between EC5 (EC6) over EC7?,the analysis,Wikipedia page revisions,changes,the relationships,named entities,used to measure,
How does the combination of shallow and deep semantic features impact the performance in pairwise comparison of two versions of the same text?,How does EC1 of EC2 impact the performance in EC3 of EC4 of EC5?,the combination,shallow and deep semantic features,pairwise comparison,two versions,the same text,,
"How effective is the neural semantic parser in translating eligibility criteria to executable SQL queries, particularly in handling Order-sensitive, Counting-based, and Boolean-type cases?","How effective is EC1 in PC1 EC2 to EC3, particularly in PC2 EC4?",the neural semantic parser,eligibility criteria,executable SQL queries,"Order-sensitive, Counting-based, and Boolean-type cases",,translating,handling
"What is the performance of the OPUS-CAT project's terminology translation systems, trained using the same pipeline and popular annotation method, on the WMT 2023 terminology shared task for different language pairs?","What is the performance of EC1, PC1 EC2 and EC3, on EC4 for EC5?",the OPUS-CAT project's terminology translation systems,the same pipeline,popular annotation method,the WMT 2023 terminology shared task,different language pairs,trained using,
"How do different deep-syntactic frameworks handle specific language phenomena, and are there any commonalities or differences in their approaches?","How do EC1 PC1 EC2, and are there any EC3 or differences in EC4?",different deep-syntactic frameworks,specific language phenomena,commonalities,their approaches,,handle,
How does the combination of clustering and topic modeling algorithms with unsupervised domain adaptation techniques impact the performance of fake and hyperpartisan news detection?,How does the combination of EC1 with EC2 the performance of EC3?,clustering and topic modeling algorithms,unsupervised domain adaptation techniques impact,fake and hyperpartisan news detection,,,,
"Can text classifiers predict appraisal concepts from textual descriptions, and if so, do they help in identifying emotion categories?","Can EC1 PC1 EC2 from EC3, and if so, do EC4 PC2 identifying EC5?",text classifiers,appraisal concepts,textual descriptions,they,emotion categories,predict,help in
What specific deep learning architecture can be effectively used for the automatic detection of atypical usage patterns in the semantic nuances of English indefinite pronouns by non-native speakers?,What EC1 can be effectively PC1 EC2 of EC3 in EC4 of EC5 by EC6?,specific deep learning architecture,the automatic detection,atypical usage patterns,the semantic nuances,English indefinite pronouns,used for,
What is the impact of the proposed round-trip training approach on the translation accuracy and user satisfaction in bilingually low-resource Neural Machine Translation systems compared to traditional baselines?,What is the impact of EC1 on EC2 and EC3 in EC4 compared to EC5?,the proposed round-trip training approach,the translation accuracy,user satisfaction,bilingually low-resource Neural Machine Translation systems,traditional baselines,,
"Is the use of means more effective in representing speech signals for discourse-meaning classification tasks, and are the featured representation techniques sensitive to speaker information?","Is thPC2ective in PC1 EC1 for EC2, and are EC3 sensitive to EC4?",speech signals,discourse-meaning classification tasks,the featured representation techniques,speaker information,,representing,e use of means more eff
"How can the semantic errors in Word-Level autocompletion (WLAC) models be addressed to improve overall accuracy, and what implications might this have for future WLAC systems?","How can EC1 in EC2 EC3 be PC1 EC4, and what EC5 might thPC3C2C6?",the semantic errors,Word-Level autocompletion,(WLAC) models,overall accuracy,implications,addressed to improve, for E
How effective is the incorporation of a reranking module and the reevaluation of recently developed techniques on the overall translation performance of the NTT-Tohoku-TokyoTech-RIKEN team's submission system in the WMT'22 general translation task?,How effective is EC1 of EC2 and EC3 of EC4 on EC5 of EC6 in EC7?,the incorporation,a reranking module,the reevaluation,recently developed techniques,the overall translation performance,,
"In the provided visualizations, how do TF-IDF frequencies differ between the Spanish political speeches during various historical periods (e.g., Spanish Civil War, Francoist dictatorship, and recent times)?","In EC1, how do EC2 PC1 EC3 during EC4 (e.g., EC5, EC6, and EC7)?",the provided visualizations,TF-IDF frequencies,the Spanish political speeches,various historical periods,Spanish Civil War,differ between,
What is the accuracy of a supervised classification model in identifying the syntactic categories of Bangla discourse connectives using DiMLex-Bangla lexicon?,What is the accuracy of EC1 in identifying EC2 of EC3 using EC4?,a supervised classification model,the syntactic categories,Bangla discourse connectives,DiMLex-Bangla lexicon,,,
What factors contributed to the significant improvement of +17.8 BLEU in the performance of machine translation models for South-East Asian Languages in the Large-Scale Multilingual Machine Translation task?,What EC1 PC1 EC2 of EC3 in the performance of EC4 for EC5 in EC6?,factors,the significant improvement,+17.8 BLEU,machine translation models,South-East Asian Languages,contributed to,
How do the proposed methods for selecting samples to be validated using the attention mechanism of a neural machine translation system balance the human effort required for achieving a certain translation quality?,How do EC1 for PC1 EC2 PC2 be PC2 EC3 of EC4 baPC5quiPC4 PC3 EC6?,the proposed methods,samples,the attention mechanism,a neural machine translation system,the human effort,selecting,validated using
"What functional specialization arises in multimodal vision-language models when trained on cognitively plausible datasets, and how does it impact the learnability of various language tasks?","What EC1 PC1 EC2 when PC2 EC3, and how does it impact EC4 of EC5?",functional specialization,multimodal vision-language models,cognitively plausible datasets,the learnability,various language tasks,arises in,trained on
What is the effectiveness of the bilingual paper resources (Nisvai booklet of narratives and Nisvai-French lexicon) in supporting the Nisvai community's primary school education?,What is the effectiveness of EC1 (EC2 of EC3 and EC4) in PC1 EC5?,the bilingual paper resources,Nisvai booklet,narratives,Nisvai-French lexicon,the Nisvai community's primary school education,supporting,
"In a cross-language Machine Reading Comprehension task using a BERT model, how do the performances differ between different languages and domains, as observed on the SQuAD and CALOR-QUEST corpora?","In EC1 using EC2, how do EC3 PC1 EC4 and EC5, as PC2 EC6 and EC7?",a cross-language Machine Reading Comprehension task,a BERT model,the performances,different languages,domains,differ between,observed on
"What are the challenges associated with automatically summarizing multilingual microblog text streams, and how can a word graph-based approach be used to generate precise summaries compared to other popular techniques?","PC2sociated with EC2, and how can EC3 be PC1 EC4 compared to EC5?",the challenges,automatically summarizing multilingual microblog text streams,a word graph-based approach,precise summaries,other popular techniques,used to generate,What are EC1 as
How can the performance of neural machine translation systems be improved for the financial domain through the use of the SEDAR corpus?,How can the performance of EC1 be PC1 EC2 through the use of EC3?,neural machine translation systems,the financial domain,the SEDAR corpus,,,improved for,
How can the accuracy of the mapping between the Arabic Tweets Dependency Treebank (ATDT) and the Universal Dependency (UD) scheme be improved for cross-lingual studies?,How can the accuracy of EC1 between EC2 (EC3) and EC4 be PC1 EC5?,the mapping,the Arabic Tweets Dependency Treebank,ATDT,the Universal Dependency (UD) scheme,cross-lingual studies,improved for,
What is the potential impact of the open calls for pilot projects and national competence centers established by the European Language Grid (ELG) project on job creation and opportunities in the European LT community?,What is EC1 of EC2 for EC3 and EC4 PC1 EC5 on EC6 and EC7 in EC8?,the potential impact,the open calls,pilot projects,national competence centers,the European Language Grid (ELG) project,established by,
How does the use of a Named Entity Recognizer for personal names as a language-dependent resource affect the anonymization and overall performance of the proposed email classification approach?,How does the use of EC1 for EC2 as EC3 affect EC4 and EC5 of EC6?,a Named Entity Recognizer,personal names,a language-dependent resource,the anonymization,overall performance,,
How can we develop domain adaptation methods to improve the performance of edge detection for biomedical event extraction across different corpora?,How can we PC1 EC1 PC2 the performance of EC2 for EC3 across EC4?,domain adaptation methods,edge detection,biomedical event extraction,different corpora,,develop,to improve
How does the integration of named entity recognition impact the accuracy of document classification and headline generation using Transformer-based models in Japanese?,How does EC1 of EC2 the accuracy of EC3 and EC4 using EC5 in EC6?,the integration,named entity recognition impact,document classification,headline generation,Transformer-based models,,
"What are initial design adaptations to increase the robustness of evaluation metrics for automatic machine translations in the face of non-standardized dialects, as shown in the study on Swiss German dialects?","What are PC1 EC2 of EC3 for EC4 in EC5 of EC6, as PC2 EC7 on EC8?",initial design adaptations,the robustness,evaluation metrics,automatic machine translations,the face,EC1 to increase,shown in
How can image processing and OCR techniques be optimized to achieve higher F-scores for the construction of large corpora from historical Australian newspaper texts about public meetings?,How can EC1 and EC2 be PC1 EC3 for EC4 of EC5 from EC6 about EC7?,image processing,OCR techniques,higher F-scores,the construction,large corpora,optimized to achieve,
How can the performance of task-oriented dialogue systems be improved when initial training dialogues become obsolete due to changes in domain knowledge?,How can the performance of EC1 be PC1 when EC2 PC2 to EC3 in EC4?,task-oriented dialogue systems,initial training dialogues,changes,domain knowledge,,improved,become obsolete due
How can a gradient similarity metric be used to analyze the syntactic representational space of neural language models and reveal hierarchical organization of their representations of sentences with relative clauses?,How can EC1 be PC1 EC2 of EC3 and PC2 EC4 of EC5 of EC6 with EC7?,a gradient similarity metric,the syntactic representational space,neural language models,hierarchical organization,their representations,used to analyze,reveal
"Is there evidence of pragmatically sophisticated behavior in the use of associational information in the simplified game Codenames, as demonstrated by both speakers and listeners?","Is there EC1 of EC2 in the use of EC3 in EC4, as PC1 EC5 and EC6?",evidence,pragmatically sophisticated behavior,associational information,the simplified game Codenames,both speakers,demonstrated by,
What is the optimal approach for jointly leveraging the advantages of source-included and reference-only models in the training of a robust metric for evaluating machine translation quality?,What is EC1 for jointly PC1 EC2 of EC3 in EC4 of EC5 for PC2 EC6?,the optimal approach,the advantages,source-included and reference-only models,the training,a robust metric,leveraging,evaluating
"How does the initial part of news articles impact the effectiveness of transformer-based models in distinguishing between left-wing, mainstream, and right-wing orientations in hyperpartisan news?","How does EC1 of EC2 impact EC3 of EC4 in PC1 EC5, and EC6 in EC7?",the initial part,news articles,the effectiveness,transformer-based models,"left-wing, mainstream",distinguishing between,
How does the precision of identifying adverse reactions in Spanish drug Summary of Product Characteristics improve with the use of role-specific NER models?,How does EC1 of identifying EC2 in EC3 of EC4 PC1 the use of EC5?,the precision,adverse reactions,Spanish drug Summary,Product Characteristics,role-specific NER models,improve with,
What is the effectiveness of readability features in improving the classification accuracy of fake news detection for Brazilian Portuguese language?,What is the effectiveness of EC1 in improving EC2 of EC3 for EC4?,readability features,the classification accuracy,fake news detection,Brazilian Portuguese language,,,
What is the accuracy of various feedback comment generation models when trained and tested on the newly created datasets for general comments and preposition use?,What is the accuracy of EC1 when PC1 and PC2 EC2 for EC3 and EC4?,various feedback comment generation models,the newly created datasets,general comments,preposition use,,trained,tested on
How does a transformer model perform in classifying event information into less and more general prominence classes compared to a Support Vector Machine (SVM) baseline for event salience classification in Dutch news articles?,How dPC2rform in PC1 EC2 into EC3 compared to EC4 for EC5 in EC6?,a transformer model,event information,less and more general prominence classes,a Support Vector Machine (SVM) baseline,event salience classification,classifying,oes EC1 pe
"In language modeling, how can the size of hidden states in recurrent layers be increased without increasing the number of parameters, to create more expressive models?","In EC1, how can EC2 of EPC3eased without PC1 EC5 of EC6, PC2 EC7?",language modeling,the size,hidden states,recurrent layers,the number,increasing,to create
What is the feasibility and effectiveness of the participatory effort in collecting a native French Question Answering Dataset for the evaluation of downstream tasks?,What is the feasibility and EC1 of EC2 in PC1 EC3 for EC4 of EC5?,effectiveness,the participatory effort,a native French Question Answering Dataset,the evaluation,downstream tasks,collecting,
What is the effect of using learnable source context factors on the translation accuracy of gender and register coherence in Basque-Spanish contextual translation?,What is the effect of using EC1 on EC2 of EC3 and PC1 EC4 in EC5?,learnable source context factors,the translation accuracy,gender,coherence,Basque-Spanish contextual translation,register,
"How can the generalizability of cross-document event coreference resolution (CDCR) systems be improved for downstream applications, considering the lack of consistent performance across different corpora?","How can EC1 of EC2 be PC1 EC3, considering EC4 of EC5 across EC6?",the generalizability,cross-document event coreference resolution (CDCR) systems,downstream applications,the lack,consistent performance,improved for,
"How does the vocabulary distribution in other CEFRLex resources compare to the English one, given the gold standards and the criteria of sparse and context-specific vocabulary usage in language learning materials?","How does PC1 EC2 compare to EC3, given EC4 and EC5 of EC6 in EC7?",the vocabulary distribution,other CEFRLex resources,the English one,the gold standards,the criteria,EC1 in,
"What is the impact of source sentence difficulty (word, length, grammar, and model learning) on the evaluation results of machine translation?","What is the impact of EC1 (EC2, EC3, EC4, and EC5) on EC6 of EC7?",source sentence difficulty,word,length,grammar,model learning,,
"How can the syntactic annotation of the ""Voices of the Great War"" corpus be leveraged to analyze diaphasic variation in Italian language usage during the First World War?",How can EC1 of EC2 of EC3 be leveraged PC1 EC4 in EC5 during EC6?,the syntactic annotation,"the ""Voices","the Great War"" corpus",diaphasic variation,Italian language usage,to analyze,
What metrics can be used to evaluate the effectiveness of the proposed standardised error taxonomy for meaning/content errors in generated text across different NLP tasks and application domains?,What EC1 can be PC1 EC2 of EC3 for EC4 in EC5 across EC6 and EC7?,metrics,the effectiveness,the proposed standardised error taxonomy,meaning/content errors,generated text,used to evaluate,
How was data preprocessing and filtering performed in OPPO's machine translation systems to contribute to their top performance in several language pairs for the WMT20 Shared Task?,How was EC1 preprocessing and EC2 PC1 EC3 PC2 EC4 in EC5 for EC6?,data,filtering,OPPO's machine translation systems,their top performance,several language pairs,performed in,to contribute to
What is the impact of using automatically generated high-quality training data on the classification performance across various tasks in deep learning systems for metaphor detection?,What is the impact of using EC1 on EC2 across EC3 in EC4 for EC5?,automatically generated high-quality training data,the classification performance,various tasks,deep learning systems,metaphor detection,,
How do multilinear representations learned using the syntactic types of Combinatory Categorial Grammar compare to BERT and neural sentence encoders in terms of verb and sentence similarity and disambiguation tasks?,How do EC1 PC1 EC2 of EC3 compare to EC4 and EC5 in terms of EC6?,multilinear representations,the syntactic types,Combinatory Categorial Grammar,BERT,neural sentence encoders,learned using,
How does taking into account the position of emojis in a tweet affect the performance of emoji label prediction?,How does PC1 EC1 EC2 of EC3 in EC4 affect the performance of EC5?,account,the position,emojis,a tweet,emoji label prediction,taking into,
"How effective is the rule-based framework in deriving words for creating a comprehensive derivational morphology resource for Russian language, compared to human-made dictionaries?","How effective is EC1 in EC2 for PC1 EC3 for EC4, compared to EC5?",the rule-based framework,deriving words,a comprehensive derivational morphology resource,Russian language,human-made dictionaries,creating,
What is the optimal gold label acquisition strategy for improving the accuracy of automatic emotion detection from Twitter data using Ekman’s emotion model?,What is EC1 for improving the accuracy of EC2 from EC3 using EC4?,the optimal gold label acquisition strategy,automatic emotion detection,Twitter data,Ekman’s emotion model,,,
What is the performance of state-of-the-art transformer models in Luxembourgish news article comment moderation?,What is the performance of state-of-EC1 transformer models in EC2?,the-art,Luxembourgish news article comment moderation,,,,,
"What framing resources, such as lexicons and corpora, can be developed using the automatically generated data from the Framing Situations in the Dutch Language project?","What PC1 EC1, such as EC2 and EC3, can be PC2 EC4 from EC5 in EC6?",resources,lexicons,corpora,the automatically generated data,the Framing Situations,framing,developed using
"Can a supervised classification model predict the likelihood of dialogue acts overlapping with gestural behavior in a multimodal corpus of first encounter dialogues, and what is its accuracy?","Can EC1 PC1 EC2 of EC3 PC2 EC4 in EC5 of EC6, and what is its EC7?",a supervised classification model,the likelihood,dialogue acts,gestural behavior,a multimodal corpus,predict,overlapping with
In what ways do the deterministic rules applied to assign dependency labels in the proposed model contribute to its cross-lingual transfer ability and its suitability for a universal language model?,In what EC1 do EC2 PC1 EC3 in EC4 PC2 its EC5 and its EC6 for EC7?,ways,the deterministic rules,dependency labels,the proposed model,cross-lingual transfer ability,applied to assign,contribute to
What is the effectiveness of the proposed Document Access System in improving information retrieval accuracy compared to current bibliography methods?,What is the effectiveness of EC1 in improving EC2 compared to EC3?,the proposed Document Access System,information retrieval accuracy,current bibliography methods,,,,
What is the impact of using post-edited machine translation on the quality of the MEDLINE parallel corpus used in the biomedical task at WMT 2019?,What is the impact of using EC1 on EC2 of EC3 PC1 EC4 at EC5 2019?,post-edited machine translation,the quality,the MEDLINE parallel corpus,the biomedical task,WMT,used in,
How can the performance of distributional approaches for recognizing semantic relations between concepts be improved using an attention-based transformer model?,How can the performance of EC1 for PC1 EC2 between EC3 be PC2 EC4?,distributional approaches,semantic relations,concepts,an attention-based transformer model,,recognizing,improved using
How can we optimize the generation of adversarial examples in Natural Language Inference (NLI) that violate First-Order Logic constraints while maintaining linguistic plausibility?,How can we PC1 EC1 of EC2 in EC3 (EC4) that PC2 EC5 while PC3 EC6?,the generation,adversarial examples,Natural Language Inference,NLI,First-Order Logic constraints,optimize,violate
"How can the personality dictionary with two sub-dictionaries, acquired from the proposed approach, be applied in real-world applications to enhance the understanding and prediction of human behavior?",HPC2ry with EC2EPC3ed from EPC4lied in EC6 PC1 EC7 and EC8 of EC9?,the personality,two sub,-,dictionaries,the proposed approach,to enhance,ow can EC1 dictiona
Is it possible to improve answer selection in question answering systems by reranking answer justifications as an intermediate step using a neural network architecture?,Is it possible PC1 EC1 in EC2 PC2 EC3 by PC3 EC4 as EC5 using EC6?,answer selection,question,systems,answer justifications,an intermediate step,to improve,answering
Does the CorefCL method significantly improve the coreference resolution in the English-German contrastive test suite compared to traditional context-aware NMT models relying on cross-entropy loss?,Does EC1 significantly improve EC2 in EC3 compared to EC4 PC1 EC5?,the CorefCL method,the coreference resolution,the English-German contrastive test suite,traditional context-aware NMT models,cross-entropy loss,relying on,
How can the scalability of WikiPron be improved to efficiently extract pronunciation data from a large number of languages?,How can EC1 of EC2 be PC1 PC2 efficiently PC2 EC3 from EC4 of EC5?,the scalability,WikiPron,pronunciation data,a large number,languages,improved,extract
"What mathematical structure can be used to identify and eliminate spurious ambiguity in multiplicative-additive displacement calculus, and how can it be applied to improve parsing efficiency?","What EC1 can be PC1 and PC2 EC2 in EC3, and how can it be PC3 EC4?",mathematical structure,spurious ambiguity,multiplicative-additive displacement calculus,efficiency,,used to identify,eliminate
What implementation and subjective choices in the use of analogies may have distorted the perception of bias in word embeddings?,What EC1 and EC2 in the use of EC3 may have PC1 EC4 of EC5 in EC6?,implementation,subjective choices,analogies,the perception,bias,distorted,
"What is the impact of pre-training Transformer language models on various clinical question answering datasets when fine-tuned on different combinations of open-domain, biomedical, and clinical corpora?",What is the impact of EC1 on EC2 PC1 EC3 when fine-PC2 EC4 of EC5?,pre-training Transformer language models,various clinical question,datasets,different combinations,"open-domain, biomedical, and clinical corpora",answering,tuned on
